Size, Quick Sort, Merge Sort
2,3.85E-06,4.71E-06
4,1.71E-06,2.99E-06
8,3.85E-06,5.56E-06
16,7.70E-06,1.03E-05
32,2.40E-05,2.22E-05
64,8.64E-05,5.82E-05
128,4.28E-04,1.56E-04
256,0.001596712,2.56E-04
512,0.0052153,7.20E-04
1024,6.54E-04,0.002562097
2048,0.002107421,0.004319207
4096,0.004530078,7.53E-04
8192,0.021070785,4.67E-04
16384,0.069938394,9.65E-04
